inventory_id,date_added,inventory_number,inventory_name,inventory_description,inventory_order,inventory_size,category_id,inventory_price,inventory_reserved,inventory_image,inventory_userid,inventory_quantity,inventory_manufacturer,inventory_FOB,inventory_detail_page,inventory_owner_email,inventory_make,inventory_model,inventory_year,inventory_serial
1607,0,2-0099A2,1993,,0,,0,0.00,,,0,0,,,,,CHEVROLET TRUCK,ASTRO PASSENGER,,
1608,0,2-0102,2007,,0,,0,0.00,,,0,0,,,,,GMC,SIERRA 1500HD,,
1609,0,2-0108,2001,,0,,0,0.00,,,0,0,,,,,FORD TRUCK,F-150,,
1610,0,2-0109,2006,,0,,0,0.00,,,0,0,,,,,CHEVROLET TRUCK,SILVERADO 1500,,
1611,0,2-0111,2008,,0,,0,0.00,,,0,0,,,,,CHEVROLET TRUCK,SILVERADO 1500,,
1612,0,2-0113A,2004,,0,,0,0.00,,,0,0,,,,,CHEVROLET TRUCK,SILVERADO 1500,,
1613,0,2-0119A,2006,,0,,0,0.00,,,0,0,,,,,LINCOLN TRUCK,MARK LT,,
1614,0,2-0121A,2007,,0,,0,0.00,,,0,0,,,,,CHEVROLET TRUCK,SILVERADO 2500,,
1615,0,2-0123,2008,,0,,0,0.00,,,0,0,,,,,FORD TRUCK,ECONO CARGO VAN,,
1616,0,2-0124,2010,,0,,0,0.00,,,0,0,,,,,CHEVROLET TRUCK,EXPRESS CARGO V,,
1617,0,2-0126A2,1996,,0,,0,0.00,,,0,0,,,,,CHEVROLET TRUCK,C/K 1500 WORK,,
1618,0,2-0127A,2004,,0,,0,0.00,,,0,0,,,,,CHEVROLET TRUCK,SILVERADO 2500,,
1619,0,2-0135,2007,,0,,0,0.00,,,0,0,,,,,CHEVROLET TRUCK,HHR,,
1620,0,2-0136,2005,,0,,0,0.00,,,0,0,,,,,CHEVROLET TRUCK,TAHOE,,
1621,0,2-0143,2009,,0,,0,0.00,,,0,0,,,,,FORD TRUCK,SUPER DUTY F250,,
1622,0,2-0144,2006,,0,,0,0.00,,,0,0,,,,,FORD,TAURUS,,
1623,0,2-0158,1997,,0,,0,0.00,,,0,0,,,,,GMC,SONOMA,,
1624,0,2-0159,2010,,0,,0,0.00,,,0,0,,,,,JEEP,PATRIOT,,
1625,0,2-0163,2010,,0,,0,0.00,,,0,0,,,,,MAZDA,MAZDA 6,,
